1.940	3.120	I
3.120	3.540	found
3.540	3.760	a
3.760	4.280	love
4.280	6.480	for
6.480	7.600	me
9.680	10.860	Darling
10.860	11.360	just
11.360	11.940	dive
11.940	12.380	right
12.380	12.800	in
12.800	14.440	Follow
14.440	15.120	my
15.120	16.100	lead
17.000	18.280	I
18.280	18.680	found
18.680	18.960	a
18.960	19.580	girl
21.360	22.540	Beautiful
22.540	23.440	and
23.440	23.880	sweet
25.000	25.740	I
25.740	26.260	never
26.260	26.860	knew
26.860	27.440	you
27.440	27.980	were
27.980	28.260	the
28.260	28.860	someone
28.860	29.800	Waiting
29.800	30.260	for
30.260	31.300	me
31.540	32.200	Cause
32.200	32.500	we
32.500	32.780	were
32.780	33.100	just
33.100	33.500	kids
33.500	33.820	when
33.820	34.040	we
34.040	34.760	fell
34.760	35.900	in
35.900	36.360	love
36.360	37.220	Not
37.220	37.760	knowing
37.760	38.820	what
38.820	39.480	it
39.480	40.180	was
40.400	41.060	I
41.060	41.320	will
41.320	41.640	not
41.640	42.280	give
42.280	43.300	you
43.300	44.180	up
44.180	45.380	this
45.380	47.400	time
47.400	48.780	Darling
48.780	49.200	just
49.200	49.700	kiss
49.700	50.540	me
50.540	51.400	slow
51.400	52.320	Your
52.320	52.860	heart
52.860	53.080	is
53.080	53.620	all
53.620	54.740	I
54.740	55.240	own
55.240	56.220	And
56.220	56.600	in
56.600	56.840	your
56.840	57.700	eyes
57.700	58.580	you're
58.580	59.780	holding
59.780	61.020	mine
62.240	63.340	Baby
63.340	65.800	I'm
65.800	67.020	dancing
67.020	67.860	in
67.860	68.120	the
68.120	68.720	dark
69.240	70.020	With
70.020	70.600	you
70.600	71.160	between
71.160	71.960	my
71.960	72.840	arms
72.840	74.820	Barefoot
74.820	75.380	on
75.380	75.680	the
75.680	76.480	grass
77.240	78.060	Listening
78.060	78.920	to
78.920	79.460	our
79.460	80.000	favorite
80.000	80.480	song
80.480	81.080	When
81.080	81.320	you
81.320	81.860	said
81.860	82.320	you
82.320	83.040	looked
83.040	83.300	a
83.300	83.820	mess
83.820	84.540	I
84.540	85.420	whispered
85.420	86.380	underneath
86.380	87.060	my
87.060	87.780	breath
