0.000	7.709	G#maj
7.709	11.517	Fmin
11.517	15.325	C#maj
15.325	19.040	D#maj
19.040	22.848	G#maj
22.848	26.657	Fmin
26.657	29.814	C#maj
29.814	32.415	A#min
32.415	33.994	D#maj
33.994	37.988	G#maj
37.988	41.796	Fmin
41.796	45.325	C#maj
45.325	47.462	G#maj
47.462	49.319	D#maj
49.319	53.127	G#maj
53.127	56.935	Fmin
56.935	60.743	C#maj
60.743	64.087	D#maj
64.087	64.366	G#maj
64.366	66.409	Fmin
66.409	68.267	C#maj
68.267	70.217	G#maj
70.217	72.075	D#maj
72.075	73.561	Fmin
73.561	74.025	Cmin
74.025	75.604	C#maj
75.604	77.740	G#maj
77.740	79.691	D#maj
79.691	81.548	Fmin
81.548	83.220	C#maj
83.220	85.357	G#maj
85.357	87.214	D#maj
87.214	89.258	Fmin
89.258	90.836	C#maj
90.836	92.973	G#maj
92.973	94.737	D#maj
94.737	95.852	G#maj
95.852	96.781	D#maj
96.781	97.710	Fmin
97.710	98.638	D#maj
98.638	100.496	C#maj
100.496	102.168	D#maj
102.168	106.255	G#maj
106.255	109.970	Fmin
109.970	113.685	C#maj
113.685	117.586	D#maj
117.586	121.394	G#maj
121.394	125.016	Fmin
125.016	127.431	G#maj
127.431	129.196	C#maj
129.196	132.540	D#maj
132.540	136.533	G#maj
136.533	140.249	Fmin
140.249	144.149	C#maj
144.149	146.379	G#maj
146.379	147.493	D#maj
147.493	151.673	G#maj
151.673	155.481	Fmin
155.481	159.196	C#maj
159.196	162.261	D#maj
162.261	164.955	Fmin
164.955	166.534	C#maj
166.534	168.763	G#maj
168.763	170.342	D#maj
170.342	172.478	Fmin
172.478	174.243	C#maj
174.243	176.379	G#maj
176.379	178.329	D#maj
178.329	180.094	Fmin
180.094	181.766	C#maj
181.766	184.645	G#maj
184.645	185.760	Cmin
185.760	187.710	Fmin
187.710	188.360	C#maj
188.360	197.091	G#maj
197.091	200.899	Fmin
200.899	204.707	C#maj
204.707	207.679	D#maj
207.679	210.466	Fmin
210.466	212.045	C#maj
212.045	214.645	G#maj
214.645	216.038	D#maj
216.038	217.989	Fmin
217.989	219.847	C#maj
219.847	221.797	G#maj
221.797	223.840	D#maj
223.840	225.512	Fmin
225.512	227.277	C#maj
227.277	230.992	G#maj
230.992	231.085	C#maj
231.085	232.385	A#min
232.385	233.314	G#min
233.314	235.079	C#maj
235.079	237.958	G#maj
237.958	238.794	D#maj
238.794	242.695	C#maj
242.695	246.317	D#maj
246.317	247.339	G#maj
247.339	248.361	D#maj
248.361	249.289	Fmin
249.289	250.218	D#maj
250.218	252.076	C#maj
252.076	254.119	D#maj
254.119	258.392	G#maj
258.392	258.485	F#maj
258.485	263.779	G#min
